problem_id,problem_question,mean,count,std
logarithm_problem,Solve for \( x \) in: \( \ln(x + 7) = 3 \),47.233,30,6.196
cosine_problem_2,"Solve for \( x \in [0, \pi] \) such that: \( \cos(x) = 0.3 \)",16.0,30,0.455
train_problem,"A train leaves a station at 72 km/h. Two hours later, a faster train leaves the same station at 88.4 km/h. How long after the faster train departs will it overtake the slower one?",10.147,34,7.123
investment_problem,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",3.969,32,6.488
pipe_problem,"A pipe fills a tank in 5.2 hours. It operates at full capacity for 2 hours and then at 65% capacity. If the tank is full in 6.7 hours total, how long did it run at reduced capacity?",3.562,32,6.085
cosine_problem_1,"Solve for \( x \in \left[0, \frac{\pi}{2}\right] \) such that: \( \cos(x) = 0.92 \)",3.067,30,0.521
decay_problem,"A substance decays as \( A(t) = 100 \cdot e^{-0.326t} \). When only 40 grams remain, how long has it been decaying?",2.727,33,1.069
boat_problem,"A boat travels 45 miles upstream and back. The upstream trip takes 2.3 hours longer than the downstream trip. If the current flows at 3.6 mph, what is the boat's speed in still water?",2.235,34,1.724
compound_interest,$3000 grows to $5000 at a 6% annual interest compounded monthly. How long (in years) does it take?,1.903,31,0.651
population_growth,"A population follows the model \( P(t) = 1500 \cdot e^{0.23t} \). When the population reaches 5500, how much time \( t \) has passed?",1.812,32,1.991
