model,question,filler_question,expected_answer,returned_answer,num_digits_correct,error,iteration,num_iterations
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",,5542.8571428571431169984862208366394042968750000000,6150,0.0,,1,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",,5542.8571428571431169984862208366394042968750000000,6300,0.0,,2,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",,5542.8571428571431169984862208366394042968750000000,6150,0.0,,3,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",,5542.8571428571431169984862208366394042968750000000,7350,0.0,,4,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",,5542.8571428571431169984862208366394042968750000000,6300,0.0,,5,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",What is the derivation of the second question?,5542.8571428571431169984862208366394042968750000000,,,'NoneType' object has no attribute 'replace',1,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",What is the derivation of the second question?,5542.8571428571431169984862208366394042968750000000,,,'NoneType' object has no attribute 'replace',2,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",What is the derivation of the second question?,5542.8571428571431169984862208366394042968750000000,,,'NoneType' object has no attribute 'replace',3,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",What is the derivation of the second question?,5542.8571428571431169984862208366394042968750000000,,,'NoneType' object has no attribute 'replace',4,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",What is the derivation of the second question?,5542.8571428571431169984862208366394042968750000000,,,'NoneType' object has no attribute 'replace',5,5
claude-sonnet-4-20250514,"$12,500 is invested partly at 5.3% and partly at 6.7%. If the total annual interest is $740.10, how much was invested at 6.7%?",What is the first paragraph of the declaration of independence?,5542.8571428571431169984862208366394042968750000000,6500,0.0,,1,5
